ID,Label
1,13
2,28
3,8
4,10
5,2
6,8
7,18
8,20
9,25
10,8
11,1
12,1
13,16
14,3
15,8
16,8
17,27
18,21
19,2
20,22
21,4
22,2
23,17
24,17
25,12
26,12
27,14
28,14
29,1
30,1
31,19
32,19
33,28
34,28
35,6
36,3
37,26
38,9
39,21
40,11
41,3
42,3
43,19
44,19
45,11
46,11
47,17
48,17
49,3
50,3
51,18
52,18
53,27
54,27
55,17
56,17
57,2
58,6
59,17
60,19
61,12
62,12
63,3
64,8
65,15
66,18
67,23
68,10
69,21
70,21
71,10
72,8
73,28
74,28
75,7
76,7
77,10
78,10
79,4
80,9
81,3
82,10
83,5
84,8
85,8
86,8
87,10
88,12
89,15
90,18
91,20
92,2
93,5
94,28
95,24
96,24
97,16
98,16
99,16
100,6
101,3
102,3
103,21
104,21
105,27
106,23
107,1
108,1
109,29
110,2
111,12
112,10
113,5
114,5
115,8
116,7
117,13
118,28
119,15
120,15
121,1
122,1
123,6
124,6
125,19
126,19
127,3
128,23
129,23
130,19
131,22
132,22
133,1
134,1
135,10
136,9
137,26
138,24
139,1
140,1
141,1
142,1
143,26
144,6
145,16
146,16
147,26
148,15
149,29
150,29
151,6
152,3
153,24
154,6
155,12
156,12
157,29
158,28
159,5
160,5
161,8
162,5
163,23
164,23
165,10
166,4
167,10
168,10
169,18
170,18
171,19
172,13
173,2
174,2
175,22
176,22
177,2
178,2
179,19
180,19
181,21
182,21
183,16
184,16
185,16
186,16
187,22
188,22
189,3
190,26
191,12
192,10
193,2
194,2
195,9
196,9
197,6
198,6
199,9
200,9
201,8
202,2
203,19
204,19
205,28
206,28
207,1
208,1
209,2
210,5
211,4
212,4
213,28
214,6
215,11
216,21
217,1
218,1
219,2
220,2
221,1
222,1
223,3
224,8
225,6
226,6
227,8
228,8
229,13
230,13
231,3
232,3
233,11
234,11
235,5
236,5
237,22
238,28
239,18
240,18
241,10
242,10
243,19
244,19
245,8
246,8
247,5
248,5
249,22
250,6
251,5
252,4
253,26
254,24
255,23
256,23
257,14
258,16
259,6
260,6
261,22
262,9
263,11
264,21
265,29
266,29
267,7
268,3
269,15
270,20
271,15
272,15
273,26
274,2
275,14
276,19
277,20
278,18
279,5
280,28
281,21
282,21
283,4
284,4
285,14
286,19
287,18
288,15
289,19
290,19
291,4
292,4
293,18
294,15
295,19
296,8
297,5
298,5
299,18
300,15
301,11
302,11
303,26
304,26
305,10
306,17
307,28
308,28
309,15
310,15
311,29
312,29
313,16
314,15
315,14
316,14
317,24
318,24
319,16
320,25
321,27
322,27
323,2
324,2
325,9
326,26
327,21
328,21
329,28
330,3
331,17
332,17
333,9
334,9
335,2
336,2
337,23
338,23
339,22
340,27
341,1
342,1
343,28
344,28
345,2
346,8
347,2
348,10
349,9
350,6
351,6
352,6
353,4
354,19
355,8
356,8
357,18
358,18
359,11
360,11
361,18
362,20
363,8
364,3
365,20
366,14
367,3
368,3
369,21
370,11
371,21
372,21
373,28
374,23
375,2
376,6
377,23
378,23
379,11
380,11
381,21
382,21
383,11
384,11
385,18
386,18
387,15
388,6
389,10
390,10
391,19
392,15
393,9
394,13
395,16
396,16
397,1
398,1
399,20
400,20
401,15
402,15
403,6
404,6
405,6
406,26
407,26
408,29
409,2
410,6
411,9
412,9
413,3
414,8
415,4
416,4
417,10
418,12
419,4
420,4
421,26
422,26
423,4
424,4
425,19
426,19
427,17
428,17
429,3
430,8
431,29
432,29
433,16
434,16
435,1
436,1
437,3
438,15
439,10
440,8
441,23
442,23
443,5
444,5
445,12
446,12
447,4
448,11
449,15
450,13
451,4
452,4
453,26
454,26
455,26
456,26
457,3
458,3
459,19
460,19
461,2
462,2
463,9
464,9
465,22
466,22
467,16
468,16
469,25
470,6
471,21
472,21
473,19
474,14
475,10
476,10
477,6
478,18
479,1
480,1
481,11
482,11
483,22
484,15
485,8
486,2
487,21
488,21
489,8
490,2
491,23
492,23
493,24
494,26
495,22
496,22
497,26
498,26
499,27
500,27
501,3
502,26
503,2
504,14
505,9
506,9
507,6
508,6
509,11
510,11
511,4
512,4
513,2
514,24
515,10
516,10
517,3
518,3
519,28
520,5
521,19
522,20
523,29
524,14
525,4
526,19
527,23
528,23
529,23
530,10
531,1
532,1
533,1
534,1
535,4
536,4
537,16
538,16
539,15
540,29
541,6
542,6
543,29
544,29
545,15
546,15
547,12
548,10
549,26
550,6
551,5
552,20
553,9
554,9
555,2
556,3
557,29
558,29
559,22
560,25
561,6
562,18
563,20
564,19
565,6
566,6
567,21
568,11
569,26
570,26
571,24
572,29
573,2
574,2
575,14
576,14
577,5
578,28
579,18
580,6
581,14
582,14
583,24
584,24
585,6
586,6
587,15
588,20
589,27
590,27
591,15
592,3
593,16
594,26
595,6
596,6
597,22
598,22
599,26
600,28
601,18
602,18
603,2
604,8
605,8
606,8
607,8
608,8
609,3
610,3
611,8
612,2
613,6
614,8
615,21
616,21
617,23
618,14
619,19
620,19
621,22
622,27
623,26
624,26
625,26
626,24
627,25
628,25
629,9
630,9
631,11
632,11
633,9
634,9
635,9
636,9
637,8
638,2
639,24
640,13
641,9
642,9
643,15
644,3
645,2
646,8
647,23
648,14
649,13
650,19
651,13
652,3
653,11
654,11
655,6
656,6
